#{"t_start": 1768911982.4930196, "env_id": "None"}
r,l,t
139.704139,196,4240.185927
165.139159,15,4240.604455
60.813544,57,4241.955264
217.566784,63,4243.508558
175.022504,80,4245.391879
-50.0,1,4245.422337
-63.239595,66,4249.103213
294.842575,60,4250.126341
197.20504,73,4251.364202
464.448367,169,4254.20232
-17.114193,35,4254.79774
210.794525,51,4256.108032
293.630679,857,4276.689681
335.372282,163,4280.698163
427.24641,93,4282.877169
97.901316,77,4284.750394
192.887426,93,4287.014934
287.869881,297,4294.096251
313.109749,216,4299.279799
187.811296,166,4303.326904
145.415271,89,4305.414994
123.008703,259,4311.768538
-50.0,1,4311.804449
1.265195,24,4312.385305
205.201259,80,4314.303354
219.783327,191,4319.103211
286.054039,31,4319.846223
69.507427,35,4320.788469
86.702496,31,4321.501418
132.256103,77,4323.388027
354.260179,143,4326.855801
193.981686,63,4328.398044
295.380869,74,4330.262706
209.214102,52,4331.497766
463.276862,259,4337.743186
173.247605,150,4341.467357
-50.0,1,4341.498333
248.733524,104,4343.993278
316.865772,81,4345.889349
378.050021,57,4347.312712
400.981031,95,4349.590054
-50.0,1,4349.688539
387.031408,87,4351.695173
-50.0,1,4351.726712
225.778615,119,4354.619672
405.239355,74,4356.424102
169.992851,73,4358.258934
249.675852,51,4359.553044
20.371078,138,4362.833962
399.347807,138,4366.238104
197.058562,75,4368.093646
209.299056,153,4371.81466
369.258967,83,4373.898357
409.399019,75,4375.688376
-52.179353,2,4375.735769
396.203342,223,4381.088623
315.677329,146,4384.541697
101.932746,42,4385.628338
182.390042,119,4388.404572
181.16618,72,4390.20066
-59.588087,59,4391.663927
268.909512,54,4392.941796
34.237229,26,4393.601314
154.559891,70,4395.318815
215.892183,140,4398.616853
298.467984,68,4400.214351
190.552482,96,4402.556087
-50.0,1,4402.58802
-7.079482,16,4403.011131
62.617023,29,4403.70898
268.904342,99,4406.06862
81.468634,61,4407.593153
104.506521,169,4411.733122
412.885785,121,4414.735341
159.535588,180,4419.00248
408.754482,183,4423.334619
321.685168,110,4425.947731
-37.331395,22,4426.479327
-50.0,1,4426.509457
178.829279,52,4427.744484
356.927731,34,4428.592059
168.175166,73,4430.316776
3.135686,27,4430.98645
234.76362,128,4434.092454
-50.0,1,4434.123238
185.914314,21,4434.626197
-9.362202,136,4437.91013
237.118448,223,4443.334801
71.632114,23,4443.872319
166.968988,75,4445.677225
-50.0,1,4445.789597
65.86775,20,4446.274821
299.570979,40,4447.240093
2.747393,20,4447.708685
-17.414772,33,4448.497814
-50.0,1,4448.531732
-34.712602,6,4448.748403
282.561156,54,4450.021428
238.042451,86,4452.119759
288.880903,122,4454.951741
222.920442,49,4456.159799
-50.0,1,4456.192025
-50.0,1,4456.224637
215.882163,232,4461.678464
-50.0,1,4461.709164
-50.52714,14,4462.087955
-54.292424,3,4462.154206
72.869661,38,4463.109591
-50.152347,3,4463.180815
164.090426,67,4464.835241
231.46511,68,4466.456639
198.87924,87,4468.545369
217.14962,96,4470.904674
239.317791,139,4474.21425
35.050902,54,4475.485291
169.274329,98,4477.874804
22.778227,20,4478.373451
361.464806,212,4483.479189
-48.122926,25,4484.098764
162.439102,67,4485.698064
283.433809,202,4490.510828
160.830145,51,4491.776323
106.907951,100,4494.232469
131.805496,60,4495.672497
400.612039,73,4498.069285
-50.0,1,4498.098506
-35.768027,504,4506.516505
190.367254,31,4507.033251
-50.0,1,4507.063283
200.709567,136,4510.387092
51.434044,185,4514.950314
206.331473,79,4516.728314
292.310204,39,4517.657167
193.735048,59,4519.091599
327.701211,106,4521.646279
183.35505,27,4522.335923
383.609888,136,4525.537474
316.254219,75,4527.361969
17.356425,57,4528.691621
249.658946,76,4530.559253
236.519511,97,4532.929038
84.673389,33,4533.666517
356.603502,65,4535.269715
77.081429,41,4536.373133
118.565637,100,4538.806459
372.602854,150,4542.376206
22.575582,30,4543.094214
184.934619,90,4545.270456
-75.228188,14,4545.576448
128.537228,79,4547.520013
313.879313,124,4550.458802
243.671957,133,4553.686281
447.246795,132,4556.856589
132.994961,30,4557.596584
142.197252,58,4559.010782
234.877774,100,4561.420517
214.979307,67,4562.960228
202.103997,21,4563.484865
169.444473,80,4565.423063
241.36852,84,4567.506727
168.51681,42,4568.501395
-50.0,1,4568.532294
386.842524,84,4570.489296
158.975198,240,4576.307072
385.93688,76,4578.142273
3.649787,76,4580.030098
-50.0,1,4580.06022
386.373274,171,4584.146434
207.649491,76,4585.956668
111.271769,32,4586.800835
-50.0,1,4586.832773
296.957884,281,4593.517109
299.13318,101,4595.89258
-50.0,1,4595.923375
174.310152,30,4596.681386
135.646802,35,4597.517222
191.793061,23,4598.051532
432.166332,172,4602.20874
276.120298,76,4604.078729
-31.980899,29,4604.813076
162.871885,44,4605.827084
256.452468,84,4607.788482
-50.0,1,4607.817859
105.698003,35,4608.685689
289.012665,166,4612.745654
356.158518,140,4616.109161
114.120666,60,4617.580093
-18.085633,10,4617.839872
331.709985,119,4620.653193
348.986599,119,4623.536044
359.730273,78,4625.478529
273.076831,77,4627.345331
-58.190647,3,4627.412208
195.488918,115,4630.2506
250.669364,89,4632.496768
32.736877,176,4636.686248
421.746979,139,4640.069305
-50.0,1,4640.101403
85.847981,24,4640.718335
-38.116609,18,4641.109033
59.443895,52,4642.406451
416.248172,90,4644.550977
4.934672,41,4645.58712
419.407723,89,4647.718914
250.32792,125,4650.69182
-50.0,1,4650.724779
297.261912,94,4653.025327
167.064016,50,4654.200811
290.21441,54,4655.429443
-6.228476,131,4658.522408
163.265462,208,4663.586442
191.278065,78,4665.490031
361.683687,234,4671.160489
237.802671,29,4671.877393
27.059657,186,4676.42922
-25.783026,21,4676.936667
129.131402,99,4679.305052
-19.684583,20,4679.776607
401.345758,240,4685.515083
152.33778,70,4687.184782
174.292334,70,4688.806083
128.788226,141,4692.302481
110.696276,57,4693.600002
281.243309,37,4694.503064
120.466787,36,4695.378127
187.569335,86,4697.430144
391.158754,93,4699.732161
489.467005,127,4702.790886
383.769008,117,4705.583236
-11.944554,126,4708.762271
536.198623,71,4710.452837
37.477554,39,4711.460417
357.374759,71,4713.204802
-3.36612,19,4713.705593
164.085963,63,4715.193553
147.416169,77,4717.132149
153.968167,69,4718.693563
312.959847,103,4721.221931
243.383422,71,4722.979121
308.116592,135,4726.221323
128.139653,132,4729.452329
10.236649,60,4730.969897
164.625137,105,4733.47883
274.815831,51,4734.647244
172.744115,18,4735.089092
-50.0,1,4735.123082
-50.0,1,4735.15208
323.036667,112,4737.853667
435.664983,334,4745.928646
89.342611,26,4746.547899
-50.0,1,4746.577239
280.273869,51,4747.899859
229.865936,130,4750.993149
230.924641,85,4752.443419
327.058613,201,4755.866049
152.938866,789,4769.117067
-50.0,1,4769.148924
261.293953,95,4771.50438
435.052938,164,4775.382037
468.997943,105,4777.940559
296.931151,117,4780.796595
257.07355,61,4782.23324
420.620323,104,4784.714348
444.896201,147,4788.313009
43.206331,68,4790.00527
261.181472,130,4793.124088
215.928308,79,4794.908741
-10.868139,51,4796.236513
147.0284,410,4806.04088
315.56686,59,4807.371651
-6.677487,16,4807.832227
71.157354,37,4808.744489
267.30011,148,4812.263616
260.295587,115,4815.097629
34.882524,75,4816.920011
286.427596,240,4822.633644
461.227807,97,4824.925219
91.806673,112,4827.585894
409.580039,109,4830.228725
329.149754,80,4832.165668
321.405443,161,4836.131689
-9.345728,21,4836.72754
47.85905,35,4837.578982
143.104336,233,4843.149046
-50.0,1,4843.184858
371.472028,81,4845.189665
243.67093,88,4847.298982
201.35581,65,4848.914316
373.870025,66,4850.440726
339.702801,149,4854.077839
290.254106,150,4857.676254
366.65062,178,4861.981357
-23.091278,9,4862.222757
196.08641,194,4866.906419
403.964278,151,4870.621492
422.802801,118,4873.389947
2.800325,32,4874.246294
292.320105,102,4876.680136
22.368403,118,4879.570218
445.180496,96,4881.803749
-50.0,1,4881.837098
286.229851,128,4884.973076
344.68901,158,4888.718643
412.475811,77,4890.616935
204.805291,133,4893.826871
413.634213,163,4897.598557
280.503121,158,4901.344806
132.49016,71,4903.022617
65.740908,35,4903.949047
326.470924,54,4905.201554
383.608892,48,4906.360019
163.094964,35,4907.160753
-56.478464,3,4907.29748
188.066064,32,4908.10934
202.568934,767,4926.380483
220.437925,91,4928.631135
63.0135,38,4929.476797
313.00381,79,4931.361386
-50.0,1,4931.391762
231.048879,80,4933.334557
0.540697,202,4938.257607
-53.595196,2,4938.305567
-29.316143,8,4938.509449
253.498198,93,4940.701005
373.219378,157,4944.5682
149.633737,58,4945.926555
42.289305,24,4946.56581
182.101772,92,4948.72097
389.489196,116,4951.595606
348.345046,119,4954.525301
49.676165,61,4956.05487
176.679571,40,4956.995108
215.280155,89,4959.094978
-70.651958,20,4959.610184
156.446664,277,4966.328535
97.390077,24,4967.048712
-51.079032,2,4967.094695
178.344392,398,4976.569945
70.174596,23,4977.095351
284.231896,387,4986.385188
-55.357911,3,4986.452751
-50.0,1,4986.485485
381.052573,224,4991.814869
209.826271,67,4993.485196
318.9104,70,4995.127134
-50.0,1,4995.159057
199.644795,105,4997.764123
147.110659,89,4999.945526
167.05426,31,5000.678439
-68.660978,39,5001.602078
75.611705,79,5003.458352
200.262904,72,5005.31725
91.477096,64,5006.830746
78.738964,25,5007.519989
57.470591,248,5014.627098
103.07463,351,5020.543832
8.712501,303,5025.625421
204.409201,81,5027.009011
324.989023,91,5028.58619
46.917706,661,5044.572368
168.806696,114,5047.376423
-50.0,1,5047.409661
250.99667,44,5048.461374
209.494513,133,5051.817581
-7.854006,8,5052.047921
228.744924,101,5054.469634
-50.0,1,5054.500452
-50.0,1,5054.536273
429.753734,70,5056.263891
-0.445137,8,5056.478415
331.771481,198,5061.237746
188.593425,492,5072.959399
373.854126,211,5078.074212
176.776548,103,5080.561853
167.05382,34,5081.345674
-50.0,1,5081.444182
440.660746,80,5083.340575
160.369726,140,5086.703189
278.174862,38,5087.596603
-76.571718,17,5088.068556
-50.0,1,5088.099237
346.040946,45,5089.262257
201.85608,96,5091.585223
274.457729,87,5093.696748
-44.517685,2,5093.745139
322.563438,118,5096.633179
150.38563,112,5099.25074
178.589313,224,5104.679473
290.341762,113,5107.349797
407.926366,75,5109.122035
375.429932,129,5112.250368
291.421024,167,5116.32769
219.569867,73,5118.073097
249.868889,203,5123.009459
431.381234,55,5124.344012
95.249582,1151,5151.676638
158.487011,97,5154.104809
115.941555,67,5155.721875
266.800859,44,5156.753971
100.367879,136,5160.053419
0.742023,29,5160.731761
467.800253,142,5164.203041
196.968722,44,5165.268649
371.188997,98,5167.629993
18.861172,18,5168.116057
123.408946,41,5169.126091
416.783554,118,5171.946401
261.674128,154,5175.608368
395.330657,177,5179.800171
339.115387,123,5182.693031
239.596286,236,5188.308936
111.403696,130,5191.498006
403.284359,80,5193.318655
417.201956,45,5194.405995
-32.318169,5,5194.592671
179.790793,340,5202.663928
-50.0,1,5202.694096
147.691846,91,5204.890124
216.270762,79,5206.832812
224.326723,184,5211.179006
181.901126,331,5219.032368
251.418559,104,5221.67245
-64.578068,100,5224.024917
414.733609,174,5228.244314
433.009494,80,5230.165837
264.224873,172,5234.279856
168.287758,94,5236.611735
173.741163,319,5244.268924
-34.278209,9,5244.505478
-0.184412,13,5244.891062
-50.0,1,5244.924088
189.327133,148,5248.468315
-50.0,1,5248.498757
53.712115,20,5249.031908
-44.424941,9,5249.291924
6.050345,33,5250.130561
145.427498,85,5252.18928
402.748967,205,5257.086704
213.63479,195,5261.750114
273.663655,240,5267.629135
-50.0,1,5267.661444
312.090972,183,5272.655806
275.374309,58,5273.639039
248.60644,71,5274.841385
351.830754,74,5276.091165
228.961948,151,5278.673207
23.255397,15,5279.092546
-50.0,1,5279.123296
419.700174,142,5282.459214
13.939098,27,5283.129261
267.145017,182,5287.613246
220.11538,36,5288.477528
196.696588,85,5290.459426
253.609287,73,5292.268473
67.400066,22,5292.771196
206.286855,100,5295.152895
253.39687,111,5297.885539
255.987982,80,5299.82422
278.333311,87,5301.858385
337.098326,98,5304.193377
291.739569,129,5307.393286
107.425872,43,5308.490374
194.985989,70,5310.188274
-59.327608,23,5310.732581
-43.755778,7,5310.933093
19.083417,100,5313.328741
90.143907,178,5317.584629
173.352624,64,5319.185383
-20.367611,39,5320.137139
-50.0,1,5320.167204
440.573903,91,5322.369689
498.969188,157,5326.07125
